Games,City,Country
1896 Summer,Athina,Greece
1900 Summer,Paris,France
1904 Summer,St. Louis,United States
1906 Summer,Athina,Greece
1908 Summer,London,Great Britain
1912 Summer,Stockholm,Sweden
1920 Summer,Antwerpen,Belgium
1924 Summer,Paris,France
1924 Winter,Chamonix,France
1928 Summer,Amsterdam,Netherlands
1928 Winter,Sankt Moritz,Switzerland
1932 Summer,Los Angeles,United States
1932 Winter,Lake Placid,United States
1936 Summer,Berlin,Germany
1936 Winter,Garmisch-Partenkirchen,Germany
1948 Summer,London,Great Britain
1948 Winter,Sankt Moritz,Switzerland
1952 Summer,Helsinki,Finland
1952 Winter,Oslo,Norway
1956 Summer,Melbourne,Australia
1956 Summer,Stockholm,Sweden
1956 Winter,Cortina d'Ampezzo,Italy
1960 Summer,Roma,Italy
1960 Winter,Squaw Valley,United States
1964 Summer,Tokyo,Japan
1964 Winter,Innsbruck,Austria
1968 Summer,Mexico City,Mexico
1968 Winter,Grenoble,France
1972 Summer,Munich,West Gernany
1972 Winter,Sapporo,Japan
1976 Summer,Montreal,Canada
1976 Winter,Innsbruck,Austria
1980 Summer,Moskva,Soviet Union
1980 Winter,Lake Placid,United States
1984 Summer,Los Angeles,United States
1984 Winter,Sarajevo,Yugoslavia
1988 Summer,Seoul,South Korea
1988 Winter,Calgary,Canada
1992 Summer,Barcelona,Spain
1992 Winter,Albertville,France
1994 Winter,Lillehammer,Norway
1996 Summer,Atlanta,United States
1998 Winter,Nagano,Japan
2000 Summer,Sydney,Australia
2002 Winter,Salt Lake City,United States
2004 Summer,Athina,Greece
2006 Winter,Torino,Italy
2008 Summer,Beijing,China
2010 Winter,Vancouver,Canada
2012 Summer,London,Great Britain
2014 Winter,Sochi,Russian
2016 Summer,Rio de Janeiro,Brazil
